区画,クレート,ファイル,行,識別子,記号の種類,落ちた条件,なぜ読めないか,改名の素案,報告ファイル
004,blitz_app,crates/blitz_app/src/app/frame_dump/frame_timing/frame_timing_tests.rs,11,統計.平均ms,英単語または略号,条件2・呼称と語の選択条1,単位「ミリ秒」をASCII記号「ms」へ切り詰めている。同じ区画のscene_camera配下は距離倍率・注視点の水平メートルのように単位を全部仮名で書く慣習であり、この型だけ逸脱する,平均ミリ秒,命名_区画004_2026-09-12.md
004,blitz_app,crates/blitz_app/src/app/frame_dump/frame_timing/frame_timing_tests.rs,12,統計.p50ms,英字1文字・英単語または略号・数字,条件1・条件2・条件7,統計記号「p」と数字「50」とASCII単位「ms」が1つの識別子へ結合しており、パーセンタイルの知識が無い読み手はもちろん、知っていても「p50ms」だけから「50パーセンタイル値をミリ秒で表したもの」だと即座に復元できない,五十パーセンタイル値ミリ秒,命名_区画004_2026-09-12.md
004,blitz_app,crates/blitz_app/src/app/frame_dump/frame_timing/frame_timing_tests.rs,13,統計.p95ms,英字1文字・英単語または略号・数字,同上,同上,九十五パーセンタイル値ミリ秒,命名_区画004_2026-09-12.md
004,blitz_app,crates/blitz_app/src/app/frame_dump/frame_timing/frame_timing_tests.rs,14,統計.p99ms,英字1文字・英単語または略号・数字,同上,同上,九十九パーセンタイル値ミリ秒,命名_区画004_2026-09-12.md
004,blitz_app,crates/blitz_app/src/app/frame_dump/frame_timing/frame_timing_tests.rs,15,統計.最大ms,英単語または略号,条件2,単位をASCII記号へ切り詰めている,最大ミリ秒,命名_区画004_2026-09-12.md
004,blitz_app,crates/blitz_app/src/app/frame_dump/frame_timing/frame_timing_tests.rs,16,統計.二十五ms超過数,英単語または略号,条件2・呼称と語の選択条1(圧縮の禁止),漢数字「二十五」とASCII単位「ms」と漢字「超過数」が1つの語の中で3種の文字体系を圧縮結合しており、「二十五ミリ秒を超えた回数」だと一読で読み取れない,二十五ミリ秒超過数,命名_区画004_2026-09-12.md
004,blitz_app,crates/blitz_app/src/app/frame_dump/frame_dump/cluster_assignment_check.rs,10,報告する(pub(super) fn、ASCIIモジュールcluster_assignment_check直下),英単語または略号,条件2・条件3・条件5,"呼び出し側はpresentation_dump.rsからcluster_assignment_check::報告する(アプリ, 視点情報)と読む。モジュール名cluster_assignment_checkはASCIIであり受理条件2により補完力ゼロのため、「報告する」だけでは何を報告するか(クラスタ選別の割り当て統計)が識別子から分からない。create::生成する型の裸の動詞そのものである",クラスタ選別の割り当て統計を報告する,命名_区画004_2026-09-12.md
004,blitz_app,crates/blitz_app/src/app/frame_dump/frame_dump/sky_pixel_check.rs,14,照合する(pub(super) fn、ASCIIモジュールsky_pixel_check直下),英単語または略号,条件2・条件3・条件5,"presentation_dump.rsからsky_pixel_check::照合する(アプリ, &画像, 視点情報)と呼ばれる。何と何を照合するか(空の代表画素と天空の再現条件)が名前に無い",空代表画素を照合する,命名_区画004_2026-09-12.md
004,blitz_app,crates/blitz_app/src/app/frame_dump/frame_dump/indirect_probe_check.rs,14,照合する(同上、モジュールindirect_probe_check),英単語または略号,条件2・条件3・条件5,indirect_probe_check::照合する(...)と呼ばれ、何を照合するか(間接照明代表板の解析入力)が名前に無い,間接照明代表板を照合する,命名_区画004_2026-09-12.md
004,blitz_app,crates/blitz_app/src/app/frame_dump/frame_dump/depth_dump.rs,18,読み戻して書き出す(pub(super) fn、モジュールdepth_dump),英単語または略号,条件2・条件3・条件5,呼び出し側はdepth_dump::読み戻して書き出す(...)と読む。何を読み戻して書き出すか(最終深度)が名前に無い,最終深度を読み戻して書き出す,命名_区画004_2026-09-12.md
004,blitz_app,crates/blitz_app/src/app/frame_dump/frame_dump/hdr_dump.rs,17,読み戻して書き出す(モジュールhdr_dump),英単語または略号,条件2・条件3・条件5,hdr_dump::読み戻して書き出す(...)。何を読み戻すか(明るさの圧縮前の中間画像)が名前に無い,明るさ圧縮前画像を読み戻して書き出す,命名_区画004_2026-09-12.md
004,blitz_app,crates/blitz_app/src/app/frame_dump/frame_dump/presentation_dump.rs,16,読み戻して書き出す(モジュールpresentation_dump),英単語または略号,条件2・条件3・条件5,presentation_dump::読み戻して書き出す(...)。何を読み戻すか(提示画像)が名前に無い,提示画像を読み戻して書き出す,命名_区画004_2026-09-12.md
004,blitz_app,crates/blitz_app/src/app/frame_dump/frame_dump/dump_destination.rs,18,決める(pub(super) fn、モジュールdump_destination),英単語または略号,条件2・条件3・条件5,"dump_destination::決める(アプリ, 基準名, アクション)と呼ばれる。何を決めるか(ダンプ先のファイル名)が名前に無い",ダンプ先のパスを決める,命名_区画004_2026-09-12.md
004,blitz_app,crates/blitz_app/src/app/frame_dump/primitive_draw_item_registry/refill.rs,13,詰め直す(pub(super) fn、モジュールrefill),英単語または略号,条件2・条件3(境界は弱いが該当),"refill::詰め直す(台帳, 受け皿)と呼ばれる想定。何を詰め直すか(プリミティブ描画発行)が名前に無い",プリミティブ描画発行を詰め直す,命名_区画004_2026-09-12.md
005,blitz_app,crates/blitz_app/src/app/scene_load/convert.rs,59,頂点変換する,なし,日本語命名の質(単語らしく見せるための助詞省略の禁止),同じファイルの兄弟関数メッシュを変換する(55行目)は目的語に「を」を付けているのに、この関数だけ「頂点」+「変換する」を助詞なしで直結しており、「大気LUT生成指示」型の膠着圧縮になっている,改名素案: 頂点を変換する,命名_区画005_2026-09-12.md
005,blitz_app,crates/blitz_app/src/app/scene_load/render_input/anchor.rs,11,導出する(anchor::導出するとして呼ばれる),英単語または略号,受理条件3(5W1Hの必要格)・条5(裸の動詞の禁止),"anchorはASCIIモジュール名であり補完力ゼロ。呼び出し側はanchor::導出する(シーン, 束座標, ...)と裸の動詞だけで呼んでおり、「導出する」だけでは何を導出するのか(基準原点)が単独で読めない。create::生成する型の違反と同型",改名素案: 基準原点を導出する,命名_区画005_2026-09-12.md
005,blitz_app,crates/blitz_app/src/app/scene_load/render_input/layout.rs,8,配置する(layout::配置するとして呼ばれる),英単語または略号,受理条件3・条5,ASCIIモジュールlayout直下の自由関数で目的語が無く、何を配置するのか(格子内でのワールド変換)が名前だけで読めない,改名素案: 格子内の配置変換を求める,命名_区画005_2026-09-12.md
005,blitz_app,crates/blitz_app/src/app/scene_load/render_input/material_slots.rs,14,変換する(material_slots::変換するとして呼ばれる),英単語または略号,受理条件3・条5,ASCIIモジュール直下の自由関数で目的語が無く、材質集合を何へ変換するのかが読めない,改名素案: 材質集合を材質スロット素材一覧へ変換する,命名_区画005_2026-09-12.md
005,blitz_app,crates/blitz_app/src/app/scene_load/render_input.rs,58,変換する(render_input::変換するとして呼ばれる),英単語または略号,受理条件3・条5,ASCIIモジュールrender_input直下の自由関数で目的語が無い。scene_load.rs側でシーンをレンダラー入力に変換するという正しい名のラッパーを別に持っているのに、内側のこの名前自体は裸のまま残っている,改名素案: シーンを束の描画入力へ変換する,命名_区画005_2026-09-12.md
005,blitz_app,crates/blitz_app/src/app/scene_load/render_input/instance_transforms.rs,10,組み立てる(instance_transforms::組み立てるとして呼ばれる),英単語または略号,受理条件3・条5,ASCIIモジュール直下の自由関数で目的語が無く、何を組み立てるのか(個体変換列)が読めない,改名素案: 個体変換列を組み立てる,命名_区画005_2026-09-12.md
005,blitz_app,crates/blitz_app/src/app/streaming/bundle_sync.rs,42,適用する(bundle_sync::適用するとして呼ばれる),英単語または略号,受理条件3・条5,ASCIIモジュール直下の自由関数で目的語が無く、何を適用するのか(そのフレームの進行)が読めない,改名素案: フレームの進行を束へ適用する,命名_区画005_2026-09-12.md
005,blitz_app,crates/blitz_app/src/app/streaming/integration_route.rs,38,経路端点,なし,受理条件4(品詞の規律),関数(処理)なのに名詞句で命名されている。同ファイルの統合経路を作るは動詞句なのに、これだけ名詞のままで、値を返す計算なのか単なる定数保持なのか名前から判断できない,改名素案: xメートルから経路端点を求める,命名_区画005_2026-09-12.md
005,blitz_app,crates/blitz_app/src/app/streaming/integration_route.rs,29,統合経路の経過,なし,受理条件4,関数なのに名詞句。同じ問題を持つroute.rs側の兄弟(位置を求める)は動詞句で統一されているのに、ここだけ名詞形になっている,改名素案: 統合経路の経過を求める,命名_区画005_2026-09-12.md
005,blitz_app,crates/blitz_app/src/app/streaming/integration_route.rs,34,整定込みの経過,なし,受理条件4,同上。関数なのに名詞句,改名素案: 整定込みの経過を求める,命名_区画005_2026-09-12.md
005,blitz_app,crates/blitz_app/src/app/streaming/route.rs,20,統合Dod経路(プレイヤー位置決定の枝),英単語または略号,受理条件7(直訳・未定義語の検出)、専門用語の表記(初出補足なしの新語),「Dod」は_doc/計画/ユビキタス言語.mdに未登録で、grepでも他に定義が見当たらない。英語のDefinition of Doneを指すと推測されるが、この名前だけからは復元できず、ASCII文字が日本語識別子へ直接混入してもいる,改名素案: 統合検収経路(検収の文脈をそのまま日本語で表す)。もし別の意味で使っているなら、まずユビキタス言語へ定義を足してから使う,命名_区画005_2026-09-12.md
006,blitz_app,crates/blitz_app/src/app/time_of_day/wiring/create.rs,29,生成する(モジュール直下の自由関数),なし,条件5(裸の動詞の禁止),ASCIIモジュールcreate直下の自由関数であり、呼び出し側create::生成する(材料)のモジュール名は英語で読まれない前提のため、名前単独では「何を生成するか」が答えられない。受理条件の例示create::生成するとまったく同じ形である,天空配線を生成する,命名_区画006_2026-09-12.md
006,blitz_app,crates/blitz_app/src/app/time_of_day/aerial_input.rs,20,組む(モジュール直下の自由関数),なし,条件5,ASCIIモジュールaerial_input直下の自由関数。呼び出し側はaerial_input::組む(...)であり、モジュール名は補完力を持たないため「何を組むか」が名前に無い,空中遠近の入力を組む,命名_区画006_2026-09-12.md
006,blitz_app,crates/blitz_app/src/app/time_of_day/atmosphere_input.rs,31,組む(モジュール直下の自由関数),なし,条件5,同上。ASCIIモジュールatmosphere_input直下で、呼び出し側atmosphere_input::組む(...)のモジュール名は補完力ゼロ,大気入力を組む,命名_区画006_2026-09-12.md
006,blitz_app,crates/blitz_app/src/app/time_of_day/distant_environment_input.rs,31,組む(モジュール直下の自由関数),なし,条件5,同上。ASCIIモジュールdistant_environment_input直下で、呼び出し側distant_environment_input::組む(...)のモジュール名は補完力ゼロ,遠方環境入力を組む,命名_区画006_2026-09-12.md
006,blitz_app,crates/blitz_app/src/app/time_of_day/step_scan.rs,66,積む(モジュール直下の自由関数),なし,条件5・条件3,ASCIIモジュールstep_scan直下の自由関数であり、何を(撮影を)どこへ(撮影一覧へ)積むかが名前に無い。引数を読んで初めて分かる,撮影を撮影一覧へ積む,命名_区画006_2026-09-12.md
006,blitz_app,crates/blitz_app/src/app/time_of_day/wiring.rs,40,空を描く(struct 天空配線のbool型フィールド),英単語または略号,条件4(品詞の規律),真偽値のフィールドなのに動詞句のままで「か」が無く、「(これから)空を描け」という命令・宣言文に読める。同じ型が公開する読み出しメソッドは空を描くかであり、フィールドと公開APIで語尾が食い違っている,空を描くか,命名_区画006_2026-09-12.md
006,blitz_app,crates/blitz_app/src/app/time_of_day/wiring.rs,52,明示境界を使わない(bool型フィールド、2箇所),英単語または略号・数字,条件4,真偽値なのに「〜ない」という否定の宣言文で終わり「か」が無い。「使うな」という指示文にも読める,明示境界を使わないか,命名_区画006_2026-09-12.md
006,blitz_app,crates/blitz_app/src/app/time_of_day/sky_input.rs,32,確定値(ジェネリックな内部関数),なし,条件4,名詞形だが、実体はResultをunwrapし、失敗時にpanicで停止する処理(副作用を持つ判定処理)である。値を運ぶだけの名詞に見えて、実際は「不変条件を検査して確定させる」という動作を隠している,不変条件を確認して取り出す,命名_区画006_2026-09-12.md
007,blitz_app,crates/blitz_app/src/app/window_setup/window_create.rs,12,window_create::生成する,英単語または略号,受理条件2(ASCIIモジュール直下の自由関数は名前単独で答える)・条件5(裸の動詞の禁止),window_createはASCII名のモジュールで、中身は生成する()という関数1つだけである。定義そのものが挙げる不合格実例create::生成すると同型であり、呼び出し側window_create::生成する(event_loop)を読んでも「何を生成するか」が分からない(型名やレシーバによる日本語の補完が無い),ウィンドウを生成する(モジュール名はASCIIのままでよいが、関数名に目的語を持たせる),命名_区画007_2026-09-12.md
007,blitz_app,crates/blitz_app/src/main.rs,50,"実行する(fn 実行する() -> Result<ExitCode, 起動エラー>、main.rsはクレート起点でASCII名の位置づけ)",英単語または略号,受理条件2・3(5W1Hの必要格)・5(裸の動詞の禁止。定義が挙げる禁止語のリストに実行するが名指しされている),クレート起点のmain()から実行する()と呼ぶだけで、CLI引数を解析して起動要求へ分岐する処理だと復元できない。「これは何?」への答えが「実行する処理です」以上に進まない,起動要求を解析して実行する,命名_区画007_2026-09-12.md
008,blitz_app,crates/blitz_app/src/cli/path_args.rs,13,shader_source引数を処理する,英単語または略号,条件2,ASCII識別子(shader_source)は読まれないものとして扱う規約に反し、しかも一緒に読む日本語の型名・レシーバが無いためASCIIの部分が補完されない。読み手はcrate外の--shader-sourceという綴りを知らないと関数名の前半を読めない,シェーダー入口の指定の引数を処理する,命名_区画008_2026-09-12.md
008,blitz_app,crates/blitz_app/src/cli/path_args.rs,20,asset_root引数を処理する,英単語または略号,条件2,同上(asset_rootがASCIIのまま識別子の一部になっている),アセットルートの指定の引数を処理する,命名_区画008_2026-09-12.md
008,blitz_app,crates/blitz_app/src/cli/placement_args.rs,36,global_offset引数を処理する,英単語または略号,条件2,同上(global_offset),大域ずらし量の引数を処理する,命名_区画008_2026-09-12.md
008,blitz_app,crates/blitz_app/src/cli/placement_args.rs,51,camera_pitch引数を処理する,英単語または略号,条件2,同上(camera_pitch),カメラ俯角の引数を処理する,命名_区画008_2026-09-12.md
008,blitz_app,crates/blitz_app/src/cli/placement_args.rs,63,camera_yaw引数を処理する,英単語または略号,条件2,同上(camera_yaw),カメラ方位の引数を処理する,命名_区画008_2026-09-12.md
008,blitz_app,crates/blitz_app/src/cli/placement_args.rs,75,camera_nudge引数を処理する,英単語または略号,条件2,同上(camera_nudge),カメラずれの引数を処理する,命名_区画008_2026-09-12.md
008,blitz_app,crates/blitz_app/src/cli/instance_lod_args.rs,13,lod_probe_step引数を処理する,英単語または略号,条件2,同上(lod_probe_step),個体別lod探査刻みの引数を処理する,命名_区画008_2026-09-12.md
008,blitz_app,crates/blitz_app/src/cli/cloth_reference_args.rs,14,cloth_xpbd_reference引数を処理する,英単語または略号,条件2,同上(cloth_xpbd_reference),布のxpbd参照比較の引数を処理する,命名_区画008_2026-09-12.md
008,blitz_app,crates/blitz_app/src/cli/cloth_reference_args.rs,30,cloth_xpbd_reference_bending引数を処理する,英単語または略号,条件2,同上(cloth_xpbd_reference_bending),布の曲げのコンプライアンスの引数を処理する,命名_区画008_2026-09-12.md
008,blitz_app,crates/blitz_app/src/cli/cloth_reference_args.rs,55,cloth_xpbd_reference_shape引数を処理する,英単語または略号,条件2,同上(cloth_xpbd_reference_shape),参照比較の題材の形の引数を処理する,命名_区画008_2026-09-12.md
008,blitz_app,crates/blitz_app/src/cli/lod_crack_args.rs,33,i32を読む,英字1文字・数字,条件2,ASCIIの型名i32が識別子の先頭に来ており、Rustの型を知らない読み手には「何を読むか」が伝わらない。同ファイルには型を伴わない数を読む(ibl_step_scan_args.rs)という書き方が既にあり、こちらだけ型名を裸で出している,一方の成分を読む(呼び出し位置に応じて命名。汎用にするなら整数を読む),命名_区画008_2026-09-12.md
008,blitz_app,crates/blitz_app/src/cli/lod_crack_args.rs,38,u8を読む,英字1文字・数字,条件2,同上(u8),詳細段の番号を読む,命名_区画008_2026-09-12.md
008,blitz_app,crates/blitz_app/src/cli/object_count.rs,24,usize値,英単語または略号,条件2,ASCIIの型名usizeをそのまま名詞へ連結しており、Rustの型システムを知らない読み手には「値」が何の値かの手掛かりが型名のASCIIに依存する,件数として取り出す,命名_区画008_2026-09-12.md
008,blitz_app,crates/blitz_app/src/cli/modes.rs,35-37,Sph512 Sph1024 Sph2048,英単語または略号・数字,条件1・条件3,「これは何?」に単独で答えられない(512/1024/2048が粒子数なのか解像度なのか格が無い)。ユビキタス言語に登録された表記はSPH(全大文字)であり、この3枝はSph(先頭のみ大文字)と綴りが違う。オーナー実例の「段階A2の候補」と同型(略号+数字の圧縮),SPH粒子512個 SPH粒子1024個 SPH粒子2048個(粒子数であることを格で示す。オーナー確認要),命名_区画008_2026-09-12.md
009,blitz_app,crates/blitz_app/src/cli 第2区画/streaming_settings.rs,22,Ow3Dod経路 (enum プレイヤー位置源 の枝),英単語または略号・数字,受理条件1・識別子へのASCII英字/数字の混入禁止(実例3参照),「Ow3Dod」は大文字小文字と数字を混ぜた短縮ラベルで、cargo xtask ow3-dodという外部コマンド名を知らないと1文字も復元できない。オーナーが不合格にした「段階A2」と同じ「コード化した略号を識別子に持ち込む」形である,大規模世界定点巡回経路(またはOW3のDoD検証で使う経路であることを名前へ書いた別案。ASCIIのxtaskコマンド名は参照:コメントへ移す),命名_区画009_2026-09-12.md
009,blitz_app,crates/blitz_app/src/cli 第2区画/value_args.rs,18,frames引数を処理する,英単語または略号,受理条件2・7,ASCII語「frames」は英語を知らない読み手には読めず、モジュール名(value_args、ASCII)も補完に使えない。同じ概念を指す日本語「フレーム数」がすぐ下の行(起動引数エラー::フレーム数不正)に既にあり、1つの値に英語表記と日本語表記が両方存在する状態になっている,フレーム数引数を処理する,命名_区画009_2026-09-12.md
009,blitz_app,crates/blitz_app/src/cli 第2区画/value_args.rs,24,benchmark_frames引数を処理する,英単語または略号,受理条件2・7,同上。「benchmark」を知らないと復元できない,ベンチのフレーム数引数を処理する,命名_区画009_2026-09-12.md
009,blitz_app,crates/blitz_app/src/cli 第2区画/value_args.rs,30,scene引数を処理する,英単語または略号,受理条件2・7,「scene」は英単語のまま。戻り値型起動時シーンがあるのに関数名は英語のまま,シーン引数を処理する,命名_区画009_2026-09-12.md
009,blitz_app,crates/blitz_app/src/cli 第2区画/value_args.rs,34,object_count引数を処理する,英単語または略号,受理条件2・7,「object_count」は英語のまま。同じ概念の日本語「描画対象数」がファイル内に既出,描画対象数引数を処理する,命名_区画009_2026-09-12.md
009,blitz_app,crates/blitz_app/src/cli 第2区画/value_args.rs,74,exposure引数を処理する,英単語または略号,受理条件2・7,「exposure」は英語のまま。戻り値型露出倍率が日本語であるのに関数名だけ英語,露出引数を処理する,命名_区画009_2026-09-12.md
009,blitz_app,crates/blitz_app/src/cli 第2区画/value_args.rs,80,blend引数を処理する,英単語または略号,受理条件2・7,「blend」は英語のまま。戻り値型アニメーションのブレンド係数は日本語(カタカナ)であるのに関数名だけ英語,ブレンド引数を処理する,命名_区画009_2026-09-12.md
009,blitz_app,crates/blitz_app/src/cli 第2区画/shadow_args.rs,45,shadow_resolution引数を処理する,英単語または略号,受理条件2・7,「shadow_resolution」は英語のまま。戻り値型影の一辺解像度は日本語であるのに関数名だけ英語,影の一辺解像度引数を処理する,命名_区画009_2026-09-12.md
009,blitz_app,crates/blitz_app/src/cli 第2区画/shadow_args.rs,53,max_shadow_distance引数を処理する,英単語または略号,受理条件2・7,同上。戻り値型メートルだが対応する設定フィールドは最大影距離,最大影距離引数を処理する,命名_区画009_2026-09-12.md
009,blitz_app,crates/blitz_app/src/cli 第2区画/shadow_args.rs,63,shadow_caster_range引数を処理する,英単語または略号,受理条件2・7,同上。戻り値型影の視距離が日本語,影の視距離引数を処理する,命名_区画009_2026-09-12.md
009,blitz_app,crates/blitz_app/src/cli 第2区画/shadow_args.rs,70,caster_margin引数を処理する,英単語または略号,受理条件2・7,同上。対応する設定フィールドはキャスター余白,キャスター余白引数を処理する,命名_区画009_2026-09-12.md
009,blitz_app,crates/blitz_app/src/cli 第2区画/time_args.rs,12,time_of_day引数を処理する,英単語または略号,受理条件2・7,「time_of_day」は英語のまま。対応するフィールドは一日内時刻の秒,一日内時刻引数を処理する,命名_区画009_2026-09-12.md
009,blitz_app,crates/blitz_app/src/cli 第2区画/time_args.rs,22,time_scale引数を処理する,英単語または略号,受理条件2・7,同上。戻り値型時間倍率が日本語,時間倍率引数を処理する,命名_区画009_2026-09-12.md
009,blitz_app,crates/blitz_app/src/cli 第2区画/screen_pixel_args.rs,19,report_sky_pixel引数を処理する,英単語または略号,受理条件2・7,「report_sky_pixel」は英語のまま。戻り値Vec<画面画素位置>、対応フィールドは空の代表画素,空の代表画素引数を処理する,命名_区画009_2026-09-12.md
009,blitz_app,crates/blitz_app/src/cli 第2区画/streaming_settings.rs,"27,",LOD継ぎ目検査設定(型)/lod継ぎ目検査(フィールド)/Lod継ぎ目検査不正(使用箇所のエラー枝),英単語または略号,日本語命名の質(頭字語の禁止)・受理条件6(1語1義),「LOD」はCPU/GPU/UI/APIのような一般に通用している語ではなく、非専門家には復元できない頭字語である。しかも同じ概念を指す綴りがLOD(型名)・lod(フィールド名)・Lod(setting_apply.rs内のエラー枝呼び出し)の3通りに揺れている。同じクレート内に「地形詳細段」「個体詳細段」というLODの確立した訳語が既にあるのに、この一群だけ英語の頭字語のまま残っている,詳細段継ぎ目検査設定/詳細段継ぎ目検査/詳細段継ぎ目検査不正のように確立訳語へ統一する,命名_区画009_2026-09-12.md
009,blitz_app,crates/blitz_app/src/cli 第2区画/screen_pixel_args.rs,"20,26",空代表画素不正,なし,日本語命名の質(助詞を省いた膠着圧縮の禁止),同じ概念を指す設定フィールド名は空の代表画素(の入り)なのに、エラー枝の名前だけ助詞を落として空代表画素と圧縮されている。「大気LUT生成指示」を「大気のベイク済み画像の生成指示」に直した規範と同じ違反であり、フィールド名と1文字も揃わないため同じ概念だと即座には気づけない,空の代表画素不正,命名_区画009_2026-09-12.md
010,blitz_app,crates/blitz_app/src/embedded_shaders/spirv_checks/spirv_module.rs,38,名前からidを引く,英単語または略号,条件7(直訳の検出質問)。日本語命名の質「英語の直訳調を禁止する」に明記の禁止語そのもの,「引く」はlookupの直訳であり、英語を知らない読み手は「名前からidを引く」から「参照して取り出す」という動作を復元できない。プロジェクトはこの語を明示的に確定訳語(lookup/sampleの「引く」→「参照する」)で禁じている,名前からidを参照する,命名_区画010_2026-09-12.md
