区画	名前	全数	直読	違反	疑い	報告
062	crates/blitz_engine/src/static_shape/index	13	13	0	0	命名_区画062_2026-09-12.md
063	crates/blitz_engine/src/streaming	37	37	0	0	命名_区画063_2026-09-12.md
064	crates/blitz_engine/src/streaming/coordinator	28	28	0	1	命名_区画064_2026-09-12.md
065	crates/blitz_engine/src/temporal_reconstruction	37	37	3	1	命名_区画065_2026-09-12.md
066	crates/blitz_engine/src/time	38	38	3	1	命名_区画066_2026-09-12.md
067	crates/blitz_engine/src/visibility_tests	30	30	1	1	命名_区画067_2026-09-12.md
068	crates/blitz_game/src 第1区画	40	40	2	0	命名_区画068_2026-09-12.md(「インテント」は区画056がユビキタス言語登録済みと判定。親が裁定)
069	crates/blitz_game/src 第2区画	6	6	0	0	命名_区画069_2026-09-12.md
070	crates/blitz_game/src/movement	34	34	0	0	命名_区画070_2026-09-12.md
071	crates/blitz_math/src	4	4	2	2	命名_区画071_2026-09-12.md
072	crates/blitz_math/src/frame 第1区画	40	40	10	2	命名_区画072_2026-09-12.md
073	crates/blitz_math/src/frame 第2区画	10	10	3	3	命名_区画073_2026-09-12.md
074	crates/blitz_math/src/units	26	26	1	2	命名_区画074_2026-09-12.md
075	crates/blitz_render/src 第1区画	40	40	0	0	命名_区画075_2026-09-12.md
076	crates/blitz_render/src 第2区画	13	13	2	2	命名_区画076_2026-09-12.md
077	crates/blitz_render/src/atmosphere	37	37	10	1	命名_区画077_2026-09-12.md
078	crates/blitz_render/src/atmosphere/bake	40	40	0	1	命名_区画078_2026-09-12.md
079	crates/blitz_render/src/atmosphere/quantity	22	22	9	3	命名_区画079_2026-09-12.md
080	crates/blitz_render/src/cascade	23	23	7	4	命名_区画080_2026-09-12.md
081	crates/blitz_render/src/cloth_material	19	19	1	2	命名_区画081_2026-09-12.md
082	crates/blitz_render/src/clustered_lighting 第1区画	40	40	0	5	命名_区画082_2026-09-12.md
083	crates/blitz_render/src/clustered_lighting 第2区画	4	4	4	3	命名_区画083_2026-09-12.md
084	crates/blitz_render/src/cube_image	38	38	0	1	命名_区画084_2026-09-12.md
085	crates/blitz_render/src/distant_environment/derived/derived_tests	40	40	5	1	命名_区画085_2026-09-12.md
086	crates/blitz_render/src/gpu_pass_timing	23	23	2	2	命名_区画086_2026-09-12.md
087	crates/blitz_render/src/local_visibility	36	36	0	1	命名_区画087_2026-09-12.md
088	crates/blitz_render/src/local_visibility/local_visibility_tests	39	39	0	1	命名_区画088_2026-09-12.md
089	crates/blitz_render/src/readback_image	9	9	0	2	命名_区画089_2026-09-12.md
090	crates/blitz_render/src/renderer	38	38	0	2	命名_区画090_2026-09-12.md
091	crates/blitz_render/src/renderer/draw_dispatch	33	33	0	1	命名_区画091_2026-09-12.md
092	crates/blitz_render/src/renderer/generate/generate_resources	36	36	8	4	命名_区画092_2026-09-12.md
093	crates/blitz_render/src/renderer/scene_draw_resources/render_object_resources	40	40	10	4	命名_区画093_2026-09-12.md
094	crates/blitz_render/src/view_input	25	25	1	1	命名_区画094_2026-09-12.md
095	crates/blitz_render/src/vulkan/atmosphere_lut	39	39	4	8	命名_区画095_2026-09-12.md
096	crates/blitz_render/src/vulkan/atmosphere_lut/readback_buffer	37	37	0	2	命名_区画096_2026-09-12.md
097	crates/blitz_render/src/vulkan/auto_exposure	38	38	22	3	命名_区画097_2026-09-12.md
098	crates/blitz_render/src/vulkan/derived_environment	28	28	6	2	命名_区画098_2026-09-12.md
099	crates/blitz_render/src/vulkan/descriptor	36	36	22	3	命名_区画099_2026-09-12.md
100	crates/blitz_render/src/vulkan/distant_environment	40	40	0	1	命名_区画100_2026-09-12.md
101	crates/blitz_render/src/vulkan/frame/record	38	38	1	0	命名_区画101_2026-09-12.md
102	crates/blitz_render/src/vulkan/frame/record/graph_build/stages	31	31	4	1	命名_区画102_2026-09-12.md
103	crates/blitz_render/src/vulkan/graph	37	37	8	4	命名_区画103_2026-09-12.md
104	crates/blitz_render/src/vulkan/headless	23	23	2	3	命名_区画104_2026-09-12.md
105	crates/blitz_render/src/vulkan/lighting_query	39	39	2	2	命名_区画105_2026-09-12.md
106	crates/blitz_render/src/vulkan/material_table	38	38	0	2	命名_区画106_2026-09-12.md
107	crates/blitz_render/src/vulkan/material_table/registration	40	40	0	3	命名_区画107_2026-09-12.md
108	crates/blitz_render/src/vulkan/particles/draw_pipeline	34	34	8	2	命名_区画108_2026-09-12.md
109	crates/blitz_render/src/vulkan/pipeline_ledger	39	39	9	4	命名_区画109_2026-09-12.md
110	crates/blitz_render/src/vulkan/shadow_map	40	40	8	2	命名_区画110_2026-09-12.md
111	crates/blitz_render/src/vulkan/temporal_reconstruction/pipeline	38	38	3	2	命名_区画111_2026-09-12.md
112	crates/blitz_render/src/vulkan/uniform	35	35	15	3	命名_区画112_2026-09-12.md
113	crates/blitz_sim/src/cloth	29	29	8	2	命名_区画113_2026-09-12.md
114	crates/blitz_sim/src/constraint_graph	32	32	0	6	命名_区画114_2026-09-12.md
115	crates/blitz_sim/src/contact	39	39	3	0	命名_区画115_2026-09-12.md
116	crates/blitz_sim/src/contact/body_body_contact	38	38	8	1	命名_区画116_2026-09-12.md
117	crates/blitz_sim/src/contact/non_penetration	25	25	0	1	命名_区画117_2026-09-12.md
118	crates/blitz_sim/src/contact/normal_tangential_system	30	30	3	3	命名_区画118_2026-09-12.md(3件はリネーム分岐で是正済み)
119	crates/blitz_sim/src/contact/normal_tangential_system/double_reference	35	35	2	0	命名_区画119_2026-09-12.md(2件はリネーム分岐で是正済み)
120	crates/blitz_sim/src/contact/pipeline 第1区画	40	40	3	1	命名_区画120_2026-09-12.md(当て方はリネーム分岐で是正済み)
121	crates/blitz_sim/src/contact/pipeline 第2区画	17	17	2	2	命名_区画121_2026-09-12.md(2件はリネーム分岐で是正済み)
122	crates/blitz_sim/src/contact/query_origin	14	14	6	2	命名_区画122_2026-09-12.md
123	crates/blitz_sim/src/contact/scene	40	40	2	1	命名_区画123_2026-09-12.md
124	crates/blitz_sim/src/contact/scene/cone_breach_record	40	40	3	1	命名_区画124_2026-09-12.md(当て方・右辺を零にするはリネーム分岐で是正済み)
125	crates/blitz_sim/src/contact/scene/numeric_contract_record/tolerance_dependence/row_admission	35	35	5	2	命名_区画125_2026-09-12.md(3件はリネーム分岐で是正済み)
126	crates/blitz_sim/src/contact/symmetric_system	39	39	0	1	命名_区画126_2026-09-12.md
127	crates/blitz_sim/src/rigid_body	32	32	3	1	命名_区画127_2026-09-12.md
128	crates/blitz_sim/src/rigid_xpbd	38	38	0	3	命名_区画128_2026-09-12.md
129	crates/blitz_sim/src/sph	16	16	10	2	命名_区画129_2026-09-12.md
130	crates/blitz_sim/src/xpbd	39	39	0	0	命名_区画130_2026-09-12.md
131	crates/editor_server/src	39	39	8	3	命名_区画131_2026-09-12.md
132	crates/editor_server/src/export/one_building	37	37	0	2	命名_区画132_2026-09-12.md
133	crates/editor_server/src/resource/building_grid	26	26	0	2	命名_区画133_2026-09-12.md
134	crates/editor_server/src/resource/music	30	30	0	2	命名_区画134_2026-09-12.md
135	crates/editor_server/src/routes	35	35	8	2	命名_区画135_2026-09-12.md
136	crates/editor_server/tests/integration 第1区画	40	40	11	2	命名_区画136_2026-09-12.md
137	crates/editor_server/tests/integration 第2区画	1	1	0	3	命名_区画137_2026-09-12.md
138	crates/editor_server/tests/integration/common	9	9	2	4	命名_区画138_2026-09-12.md
139	xtask/src 第1区画	40	40	0	2	命名_区画139_2026-09-12.md
140	xtask/src 第2区画	40	40	4	1	命名_区画140_2026-09-12.md
141	xtask/src 第3区画	13	13	8	2	命名_区画141_2026-09-12.md
142	xtask/src/acceptance	40	40	1	2	命名_区画142_2026-09-12.md
143	xtask/src/acceptance/judgment_value	39	39	0	3	命名_区画143_2026-09-12.md
144	xtask/src/atmosphere_lut	39	39	2	2	命名_区画144_2026-09-12.md
145	xtask/src/cluster_lights	38	38	5	2	命名_区画145_2026-09-12.md
146	xtask/src/command_ui/menu	24	24	8	2	命名_区画146_2026-09-12.md
147	xtask/src/conform	40	40	16	8	命名_区画147_2026-09-12.md
148	xtask/src/conform/declaration_comment_line	40	40	3	4	命名_区画148_2026-09-12.md
149	xtask/src/conform/shader_binding	37	37	1	1	命名_区画149_2026-09-12.md
150	xtask/src/conform/source_lexing/token_read	39	39	1	2	命名_区画150_2026-09-12.md(連立はリネーム分岐で是正済み)
151	xtask/src/csm_seam	39	39	4	2	命名_区画151_2026-09-12.md
152	xtask/src/derived_environment	34	34	8	2	命名_区画152_2026-09-12.md
153	xtask/src/distant_view/judgment	36	36	8	4	命名_区画153_2026-09-12.md
154	xtask/src/editor	40	40	2	2	命名_区画154_2026-09-12.md
155	xtask/src/gen_game_map	40	40	9	1	命名_区画155_2026-09-12.md
156	xtask/src/indirect_cost	40	40	1	2	命名_区画156_2026-09-12.md
157	xtask/src/instance_lod/judgment	39	39	6	3	命名_区画157_2026-09-12.md
158	xtask/src/material_check/multi_material_draw	38	38	5	3	命名_区画158_2026-09-12.md
159	xtask/src/ow4_bench	39	39	4	1	命名_区画159_2026-09-12.md
160	xtask/src/part_row_draw/tree_row	38	38	3	2	命名_区画160_2026-09-12.md
161	xtask/src/reverse_depth	40	40	12	6	命名_区画161_2026-09-12.md
162	xtask/src/shadow_loss/error	39	39	1	2	命名_区画162_2026-09-12.md
163	xtask/src/sky_lut/indirect_pass_count	37	37	16	3	命名_区画163_2026-09-12.md
164	xtask/src/smoke	30	30	3	2	命名_区画164_2026-09-12.md
165	xtask/src/texture_compression	40	40	0	0	命名_区画165_2026-09-12.md
166	xtask/src/type_metrics/rust_module	36	36	0	1	命名_区画166_2026-09-12.md
167	xtask/src/xpbd_solver_bench	13	13	1	2	命名_区画167_2026-09-12.md
